,dataset,speaker_id,file_id,start,duration,gender,dataset
0,VCTK,p286,p286/p286_053_mic1,0,2.04,,VCTK
1,VCTK,p308,p308/p308_381_mic1,0,2.04,,VCTK
2,VCTK,p273,p273/p273_403_mic1,0,2.04,,VCTK
3,VCTK,p274,p274/p274_262_mic1,0,2.04,,VCTK
4,VCTK,p339,p339/p339_177_mic1,0,2.04,,VCTK
5,VCTK,p276,p276/p276_128_mic1,0,2.04,,VCTK
6,VCTK,p282,p282/p282_024_mic1,0,2.04,,VCTK
7,VCTK,p261,p261/p261_474_mic1,0,2.04,,VCTK
8,VCTK,p234,p234/p234_336_mic1,0,2.04,,VCTK
9,VCTK,p300,p300/p300_377_mic1,0,2.04,,VCTK
10,VCTK,p318,p318/p318_333_mic1,0,2.04,,VCTK
11,VCTK,p265,p265/p265_054_mic1,0,2.04,,VCTK
12,VCTK,p225,p225/p225_073_mic1,0,2.04,,VCTK
13,VCTK,p233,p233/p233_132_mic1,0,2.04,,VCTK
14,VCTK,p245,p245/p245_338_mic1,0,2.04,,VCTK
15,VCTK,p305,p305/p305_223_mic1,0,2.04,,VCTK
16,VCTK,p263,p263/p263_023_mic1,0,2.04,,VCTK
17,VCTK,p249,p249/p249_225_mic1,0,2.04,,VCTK
18,VCTK,p329,p329/p329_367_mic1,0,2.04,,VCTK
19,VCTK,p330,p330/p330_341_mic1,0,2.04,,VCTK
20,VCTK,p225,p225/p225_350_mic1,0,2.04,,VCTK
21,VCTK,p257,p257/p257_186_mic1,0,2.04,,VCTK
22,VCTK,p283,p283/p283_409_mic1,0,2.04,,VCTK
23,VCTK,p281,p281/p281_244_mic1,0,2.04,,VCTK
24,VCTK,p336,p336/p336_410_mic1,0,2.04,,VCTK
25,VCTK,p255,p255/p255_088_mic1,0,2.04,,VCTK
26,VCTK,p262,p262/p262_139_mic1,0,2.04,,VCTK
27,VCTK,p297,p297/p297_019_mic1,0,2.04,,VCTK
28,VCTK,p304,p304/p304_082_mic1,0,2.04,,VCTK
29,VCTK,p314,p314/p314_026_mic1,0,2.04,,VCTK
30,VCTK,p245,p245/p245_189_mic1,0,2.04,,VCTK
31,VCTK,p303,p303/p303_118_mic1,0,2.04,,VCTK
32,VCTK,p293,p293/p293_207_mic1,0,2.04,,VCTK
33,VCTK,p286,p286/p286_274_mic1,0,2.04,,VCTK
34,VCTK,p306,p306/p306_196_mic1,0,2.04,,VCTK
35,VCTK,p335,p335/p335_034_mic1,0,2.04,,VCTK
36,VCTK,p275,p275/p275_075_mic1,0,2.04,,VCTK
37,VCTK,p310,p310/p310_190_mic1,0,2.04,,VCTK
38,VCTK,p238,p238/p238_001_mic1,0,2.04,,VCTK
39,VCTK,p278,p278/p278_024_mic1,0,2.04,,VCTK
40,VCTK,p294,p294/p294_070_mic1,0,2.04,,VCTK
41,VCTK,p329,p329/p329_015_mic1,0,2.04,,VCTK
42,VCTK,p227,p227/p227_282_mic1,0,2.04,,VCTK
43,VCTK,p238,p238/p238_336_mic1,0,2.04,,VCTK
44,VCTK,p306,p306/p306_293_mic1,0,2.04,,VCTK
45,VCTK,p233,p233/p233_062_mic1,0,2.04,,VCTK
46,VCTK,p273,p273/p273_021_mic1,0,2.04,,VCTK
47,VCTK,p323,p323/p323_332_mic1,0,2.04,,VCTK
48,VCTK,p335,p335/p335_085_mic1,0,2.04,,VCTK
49,VCTK,p258,p258/p258_316_mic1,0,2.04,,VCTK
50,VCTK,p237,p237/p237_154_mic1,0,2.04,,VCTK
51,VCTK,p244,p244/p244_209_mic1,0,2.04,,VCTK
52,VCTK,p335,p335/p335_305_mic1,0,2.04,,VCTK
53,VCTK,p263,p263/p263_458_mic1,0,2.04,,VCTK
54,VCTK,p345,p345/p345_079_mic1,0,2.04,,VCTK
55,VCTK,p272,p272/p272_200_mic1,0,2.04,,VCTK
56,VCTK,p249,p249/p249_156_mic1,0,2.04,,VCTK
57,VCTK,p285,p285/p285_374_mic1,0,2.04,,VCTK
58,VCTK,p299,p299/p299_293_mic1,0,2.04,,VCTK
59,VCTK,p230,p230/p230_065_mic1,0,2.04,,VCTK
60,VCTK,p279,p279/p279_212_mic1,0,2.04,,VCTK
61,VCTK,p273,p273/p273_109_mic1,0,2.04,,VCTK
62,VCTK,p306,p306/p306_354_mic1,0,2.04,,VCTK
63,VCTK,p229,p229/p229_109_mic1,0,2.04,,VCTK
64,VCTK,p246,p246/p246_146_mic1,0,2.04,,VCTK
65,VCTK,p281,p281/p281_282_mic1,0,2.04,,VCTK
66,VCTK,p236,p236/p236_278_mic1,0,2.04,,VCTK
67,VCTK,p345,p345/p345_384_mic1,0,2.04,,VCTK
68,VCTK,p261,p261/p261_088_mic1,0,2.04,,VCTK
69,VCTK,p227,p227/p227_317_mic1,0,2.04,,VCTK
70,VCTK,p241,p241/p241_175_mic1,0,2.04,,VCTK
71,VCTK,p276,p276/p276_237_mic1,0,2.04,,VCTK
72,VCTK,p292,p292/p292_064_mic1,0,2.04,,VCTK
73,VCTK,p237,p237/p237_105_mic1,0,2.04,,VCTK
74,VCTK,p287,p287/p287_016_mic1,0,2.04,,VCTK
75,VCTK,p305,p305/p305_139_mic1,0,2.04,,VCTK
76,VCTK,p236,p236/p236_261_mic1,0,2.04,,VCTK
77,VCTK,p288,p288/p288_100_mic1,0,2.04,,VCTK
78,VCTK,p283,p283/p283_421_mic1,0,2.04,,VCTK
79,VCTK,p272,p272/p272_289_mic1,0,2.04,,VCTK
80,VCTK,p307,p307/p307_321_mic1,0,2.04,,VCTK
81,VCTK,p312,p312/p312_368_mic1,0,2.04,,VCTK
82,VCTK,p270,p270/p270_326_mic1,0,2.04,,VCTK
83,VCTK,p308,p308/p308_273_mic1,0,2.04,,VCTK
